Person;Affiliation;PrimaryKey
Shri Dinesh Singh Bhadoriya; Journalists;0
Shri Yogendra Singh Bhadoriya; Journalists;0
Sumer Singh Narwariya; Journalists;0
Shri Yogendra Kashinath Dorkar; Editor of Dainik Nandurbar Dinank Uttar Maharashtra;1
Shri Jagpal Singh; Correspondent UP Journalists Association;2
Dainik Aaj; District General Secretary UP Journalists Association;2
Shri Praveen Kumar; Commander Railway Protection Force;2
Mr. Naveen Das; Editor Satya Ra Swara Nirbhay;4
Information and Public Relations Director; Government of Odisha;4
Mrs. Suchita Kumari; Lady Supervisor Bal Vikas Pariyojana Karyalaya;10
Shri Yogesh Porwal; Editor/ Publisher Dashpur Disha;11
Shri Pawan Jain; Deputy Commissioner Revenue & Public Information officer;11
Shri Avijit Anand; Journalist/ Editor Pragati Yatra;12
Shri Shubhchandra Jha; Director Personnel Management and Administration Madhyanchal Vidhyut Vitran Nigam;12
Shri Lavlesh Pandey; Dainik Charcha Aaj ki;13
Editor in Chief; Dainik Charcha Aaj ki;13
Shri Manish Kumar Rathor; Editor Prime Sandesh Magazine;14
Shri Ratnesh Kumar;Evam Gramin Seva Sansthan;15
Shri Himanshu Singh; Correspondent Dainik Janmorcha;16
Shri Suresh Chandra; Editor City Glance;17
Shri Sumit Rathi; Journalist Dainik Jagran;18
Shri Shaikh Nazar Mohammed; Journalist Dainik Janbaj Magazine;19
Shri Sohan Singh; Pioneer;21
Shri Kulwant Singh; Managing Editor Tekri Times Weekly;22
Smt. Jyoti Shah Narwariya; Food Supply Controller (ii) Office of the Collector;22
Shri Lakhvinder Singh Gill; Food Supply Inspector and (iii) Office of the Collector;22
Shri Pratap Singh Thakur; Food Supply Inspector Office of the Collector;22
Shri Vatika Ashok Kumar; Vice President TWJF;24
Shri Saurabh Gangwar; Chairman and its members Kumayum Yuva Press Club;27
Shri Akhil Bansal; General Secretary A. Bha. Jain Patra;28
Shri Harishankar Upadhyay; Editor Pillars of Democracy;29
Editor;of Tumul Tufani;30
Editor;of Tumul Tufani;31
Shri Kishore Kumar Dagdi; Publisher/ Editor Karmagya Newspaper;32
Shri G.N. Tiwari; Managing Editor Youth Agenda;39
Shri Harishyam Bajpayee; Editor The Telecast;40
Shri Shyam Prakash; MLA;40
Shri Ramcharan Mali; Chief Editor Vanvasi Express;41
Shri Shiv Kumar Aggarwal; Editor Shahid Bhagat Singh Times;42
Shri Deepak Nihalchand Gupta; Editor & Shri Kanyakubj Vaishybhumi;43
Shri Atish D. Tripude; photographer of Shri Kanyakubj Vaishybhumi;43
Shri Tarakaant Dwivedi; Editor Dainik Jan Swabhiman;44
Akela; Editor Dainik Jan Swabhiman;44
Shri Deven Bharti; Joint Commissioner of Police;44
Shri Dharmendra Singh Ranera; Editor of Times of Mandsaur;45
Shri Ishwar Lal Chauhan; Assistant Director District Public Relations Office;45
Shri Vijay Kumar; Correspondent Dainik Jagran;46
Dr. Satyendra Kumar Sinha; Medical Officer & CMO Primary Health Centre;46
Shri Avinash Saxena; Reporter Modern Reporter Weekly;47
Shri Mukesh Gupta; Editor Dainik Aaj ki Dastan;47
Ms. Priyanka Borpujari; Independent Journalist & Member Mumbai Press Club;48
Shri Sudhir Dikshit; Pilibheet;49
Bureau Chief; Pilibheet;49
Dainik Yuva Hastakshar; Pilibheet;49
Shri Nareshpal Singh; U.P.;49
Shri Manoj Sonekar; U.P.;49
Shri Vaibhav Srivastav; U.P.;49
Pilibheet; U.P.;49
Shri Om Prakash Baghel; Editor of Duniya Ek Nazar Mein;50
Shri Shah Aalam; Correspondent Dainik Shah Times;51
Shri Mahendra Singh; Editor Weekly Kisauli Times;52
Shri Rakesh Kathuriya; District Correspondent Divya Himachal;54
Shri D.D. Mittal; National Organisation;55
Secretary General; All India Small Newspapers Association;55
Commissioner; Information and Public Relations Government of Telangana;56
Shri Ratheesh K.V.; Publisher Yuva Darsanam;57
Shri Pitabasa Mishra; Editor/Publisher Utkal Mail;58
Shri D.D. Mittal; Organiser/Secretary General All India Small Newspapers Association;59
Shri Bashir Manzar; General Secretary Kashmir Editor’s Guild;60
Shri Fayaz Ahmad Kaloo; Editor-in-Chief Greater Kashmir/ Kashmir Uzma;61
Shri Basant Kumar; Publisher Prakash Bulletin;63
Shri Sushil Chaudhuri; Publisher Dainik Ganadoot;64
Smt. Mahmooda Mansoori; Publisher Dainik Avantika Herald;65
Smt. Mahmooda Mansoori; Publisher Saptahik Avantika Herald;66
Shri Tumul Vijay; Editor Tumul Toofani;67
Shri Sharad Katiyar; Editor Youth India News Group;68
Smt. Monika Rani; IAS;68
Dr. Anil Kumar; Superintendent of Police;68
Shri Amar Singh Johri; Reporter Aakhiri Koshish;69
Shri Sanjay Kumar Sharma; Member All India Small and Medium Newspapers Federation;70
Principal Director General; PIB;70
Shri B. P. Gautam; Publisher/Journalist Hindi Weekly;71
Gautam Sandesh; Hindi Weekly;71
Shri C.K. Nayak; Member Press Council of India;84
President; Press Association;94
President; Press Club of India;94
General Secretary; INPC;94
President; Foreign Correspondent Club New Delhi;94
Shri Ashok Malik; President NUJ (India);95
Shri Manohar Singh; President Delhi Journalists Association;95
Shri Rajeev Ranjan Nag; President Indian Federation of Working Journalist;95
Shri Kamal Shukla; Patrakaar Suraksha;97
Shri Abhishek Awasthi; Journalist Dainik Patrika;98
Shri Anoop Saxena; Correspondent Nai Duniya Rajgarh;99
Shri Vaidhya Ramesh Chandra; Editor Vashisth Times;100
Shri Nilesh Kumar Jain; Editor Jabalpur Express;101
Shri Sunil Jain Kalakar; Chief Editor Dainik Achran;102
Shri Akhilesh Jain; SDO and CMO;102
Shri P.K. Singh; CMO;102
Shivnaresh Pandey; Chief Editor Ekta Hamari Prachin Parampara Hai;103
Shri Homesh Mishra; Local Editor U.P. News 24 Channel;104
Shri Ramnaresh Yadav; Editor Desh ke kamere;105
President; Unnav Bar Association;105
Dr. Fal Kumar Panwar; B Chief Dainik Shah Times;108
Shri Alok Kumar Singh; Journalist Jan Sandesh Times;109
Shri Anil Kasyap; District Bureau Chief;111
Shri Mohit Verma; Hathras U.P. & Police Authorties;111
Shri Surender Kumar Gupta; Editor clue Times;113
Shri Aasif Khan; Editor Aam Aawaj;114
Sh. Manas Kumar Behra; Journalist Asian News International;115
Sh. Sushil Kumar Singh; Editor Quick Times Magazine;116
The Executive Engineer; Public Works Department;117
Shri Ashok Dubey; Editor Asha Darpan;119
Shri Ramakant Patil; President Palghar District Press Association;120
Shri Uttam Chandra Sharma; Chief Editor Muzaffarnagar Bulletin;121
Shri Satish Kumar Arya; National Organization Minister;122
Deputy Director; Information;122
Shri Mir Farook Ali; Editor-in-Chief Adsah Daily (Urdu);123
Shri D.D. Mittal; State President Lead India Publishers Association;124
Shri Umashankar Mishra; Editor U.S.M. Patrika;125
Director General; Directorate of Advertising & Visual Publicity;125
Choudhary Amar Singh Johri; Reporter Akhiri Koshish;126
Shri Ramcharan Mali; Chief Editor Vanvasi Express;127
Smt. Komal Sapra; Editor Baran Patrika;128
Deputy Director; Information & Public Relations;128
Shri G.H. Kaloo; President Jammu & Kashmir Press Association;129
Smt. Vidya Devi; Editor TasmaSanket;151
Dr. Ajay Kumar Seth; Editor Yatarth Darpan;152
Shri Natik Javed; Sangam times;154
Berau Chief; Sangam times;154
Shri Rajan Satija; Editor Rashtriya Chhavi;155
Shri Sunil Jakhad; President Punjab Pradesh Congress Committee;155
Shri Bharat Bhushan Azad; Journalist Punjabi Tribune;156
Shri Brahmasahankar Tripathi;(Cabinet Minister of UP Government;157
Shri Jai Prakash Bharadwaj; Bureau Chief Dainik Chetna Manch;158
Shri Mohan Nagpal; News Editor/Sr. Journalist Daily Pilot;160
Shri Narendra Patel; Reporter Bansal News Channel;161
Shri Jitendra Soni; Reporter ind-24 News Channel;161
Shri Vijay Singh Thakur; Police Station Incharge;161
Shri Shamim Khan; Editor Dainik Mahakaushal Express;162
Shri Avneesh Mishr; Journalist Swatantra Bharat;165
Shri Iftekhar Ahmad; Police Station Incharge;165
Shri Bhagwati Prasad; Editor Mansookh Times;168
Babloo Chakravarty; Editor Mansookh Times;168
Ms. Sumaiya Yousuf; Defence& Security Correspondent;169
Shri. Md. Nadimul Haque; M.P Rajya Sabha;170
Shri M.W. Haque; Chief Editor of Urdu Daily Newspaper;170
Sh. Yogesh Saxena; Distt. Representative;171
Shri Ashish Awasthi; Editor Media Break;172
Shri Pankaj Panchal; Editor Ujjain Aaj Tak;173
Shri Ansari Shahid Ahahmad; Journalist Central Observer;174
Shri Sayyed Monuddin Ashraf; Mumbai Police Authorities;174
Shri K.P Singh; Editor Dainik In-Dino;175
Superintendent;and Principal of Sardar Bhallabh Bhai Patel Medical;175
Shri Om Prakash Baghel; Chief Editor Dunia Ek Nazar Mein;176
Shri Dharmesh Kumar; Village Development Officer;176
Sh. Om Prakash Baghel; Chief Editor Dunia Ek Nazar Mein;177
Shri Arvind Kumar Yadav; Village-Gauda Kasganj (U.P.) & Government of Uttar Pradesh;177
Shri. Awadesh Pandey; Editor Gaon-Gaon Ki Khabar;178
Shri. Awadesh Pandey; Editor Gaon - Gaon Ki Khabar;178
Shri Tarun Kumar; President International Council for Newspaper and Journalist;179
Shri Suman Kumar; Editor and Desh Ke Pahredar;180
Shri Raviranjan Kumar; Photographer Desh Ke Pahredar;180
Shri Punyapal; Owner/Publisher/Editor Dakshin Gujarat Vartman;184
Ashok Kumar Shah; Owner/Publisher/Editor Dakshin Gujarat Vartman;184
Managing Editor; Dainik Hind Gazette;185
Shri Surya Prakash Sharma; Manager Molad Group of Companies;186
Shri Raghunath Singh; Printer/Publisher Rajasthan Patrika;187
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;188
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;189
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;190
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;191
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;192
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;192
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;193
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;194
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;195
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;196
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;197
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;198
Shri Debashish Chakraborty; General ManagerM Marketing Rajasthan Patrika Group;198
Shri Debashish Chakraborty; General ManagerMarketing Rajasthan Patrika Group;199
Shri Suresh Verma; Publisher/Chief Editor Kranti Kathan;200
Shri Ashroba Kedare; Editor Weekly Kripavant;201
Shri. Munna Ahmed; Chief Editor Alfaz Today;202
Dr. Jawahar Lal Nigam; Editor Dainik Universe Reporter;203
Managing Director; Power Co-operation Limited;203
Dr. Nisha Nigam; Chief Editor Har -Har Sach Ke Liye Tatpar;204
Director General; DAVP;204
Shri Upendra Chaudhary; editor All India Crime Branch;205
Shri Gaje Singh; Former D.I.O;205
Shri Deepak Kumar; Asstt to D.I.O Shamli. U.P.;205
Shri Mohan Nagpal;Sr. Journalist/News Editor and other journalists of Daily Pilot;206
Shri Kanwaljit Singh; District Public Relations Officer;206
Shri S. N. Shyam; Journalist Bihar Press Mens Union;223
Shri Vishwanath Shrivas; Bureau Chief;224
Shri Sayyed Imran Alam; Editor Aitihasik Sakshya;225
Shri Tahseen Ahmad; Lucknow and Police Authorities;225
Shri Ravinesh Gupta; Correspondent Dainik Shekhar Times;226
Shri Prabhat Chandra Sharma; Journalist/Media Incharge Journalist Union Of Bihar;227
District Officer; Banka;227
Òmprakash Baghel; Chief Editor Duniya Ek Nazar Mai;228
Shri Yogender Kumar; Secretary Gram Panchyat Barkatpur;228
Secretary; Bihar School Examination Board;229
Shri Kumar Vijay;alias Satellite Reporter;230
Vijay Gupta; Journalist/Editor Satellite Reporter;230
Shri Sharad Katiyar; Publisher/Editor Youth India;231
President; Madhya Pradesh Shramjivi Patrakar Sangh;234
Shri Vijay Kumar; Editor Ashoka Express;235
Ms. Sonali Jindal; T.V. Correspondent TV 24;236
Shri Jagtar Singh; Owner Petrol Pump;236
Shri Akshay Jain; Freelance Journalist;237
Ms. Rashim Chaudhary; Mahila Police Offcier;237
Mr. longsing Teron; Editor/Owner Thekar;239
Shri Alok Prakash Bharti; Journalist Hindustan Dainik;241
Alok Yadav; Journalist Hindustan Dainik;241
Shri Anwar Nori; Chief Editor Mumbra Samachar;242
Shri Sardarsinh Naranji Chauhan; Editor Khamir Weekly newspaper;243
Thakur Tabbu; Editor Insaf Ki Batten;245
Shri Illiyaskhan; Editor Barasta Toofan;246
Shri Goakhnath Saroj; SHO Motipur and Circle Offcier;247
Shri Diwakar Tripurari; Circle Offcier;247
Shri Ashwaq Ulla Khan; Correspondent Rashtriya Sahara;248
Shri Anil Kumar Kushwaha; Correspondent Daily News;249
Shri Manoj Kumar; Journalist Navkarmyug Prakashan;250
Shri Rajesh Itoriya; Raj Express;251
Bureau Chief; Raj Express;251
Shri Ashok Kumar Raina; Editor/Publisher  The Northern Times;252
Shri Pradeep Verma; Journalist Rashtriya Sahara;253
TarunMitra; Journalist Rashtriya Sahara;253
Shri Santsoh Kumar Dixit; Journalist Rashtriya Sahara;253
Amar Ujala; Journalist Rashtriya Sahara;253
Shri Santosh Kumar Pandey; Journalist Rashtriya Sahara;253
DainikJagran; Journalist Rashtriya Sahara;253
Shri Kamlesh Kumar Tripathi; Journalist Rashtriya Sahara;253
Shri Ramcharan Mali;Chief Editor Vanvasi Express;254
Shri Krishna Prasad; Editor-in-Chief Outlook;255
Shri Sharad Khare; Editor Dainik Hind Gazette;257
Shri P. Sentamizhselven; President Puducherry & Tamilnadu Press & Media Association;258
Shri S. Saravanan;of latchiya Tamilan Magazine;258
Shri K.M. Babu; Chief Editor Samarpan Bhoomi;259
Shri Shailendra Mishra; Reporter Dainik Raj Express;260
Shri Sanjay Raikwar; Chief Editor SagarKe Moti;261
Shri Pranab Sarkar; Tripura Journalists Union;262
General Secretary; Tripura Journalists Union;262
Shri Pankaj Chakraborty; Deputy Magistrate Tripupra;262
Shri Umesh Sharma; Managing Editor Dainik Jan Express;264
Shri Sanjay Gupta; Correspondent Dainik Samarth Sahara;265
Shri Afroj Ali; Journalist Dainik Aaj;268
President; Nagar Panchayat;268
Shri Vishnuchand Gupta; Journalist RTI;269
Shri Vireshpal Singh; Journalist Brave News;270
Shri Anurag Kumar; Editor Sri Ramjanki Times;271
Owner; Bindki Gas Agency;271
Shri Ravi Kumar Agrawal; Correspondent Salam Chhatisgarh;273
Shri Ghanshyam Pandey; Journalist Rashtriya Sahara;274
Shri Rajesh Tiwari; Journalist Daily News;274
Shri Habeeb Quraishi; Editor Yash Express;275
Shri Prabhat Chandra Sharma; Journalist/Media Incharge Journalist Union of Bihar;276
Shri Om prakash Baghel; Chief Editor Duniya Ek Nazar Mei;277
Shri Pappu Yadav; Journalist ShaharDayra Times;278
anti-social elements;and police authorities;278
Shri Sandeep Agarwal; Editor Mid-night Express;279
Shri Ravi Chamadiya; Publisher/Editor Sadhya Border Times;280
Shri Kashmir Singh; Correspondent Crime line;281
Shri Pranab Sarkar; Tripura Journalists Union;282
General Secretary; Tripura Journalists Union;282
Shri Sarvesh Kumar Suyash; Freelance Journalist/Managing Editor Kanpur and National President Akhil Bhartiya Swatantra Patrakar Mahasangh;283
Shri Umesh Kumar Shukla; District Correspondent Pragya Times;285
Shri Kamlesh Kumar; Editor/ Publisher Yug Bandhu;287
Shri Ram Kumar Sharma;(Mulle) Editor/Publisher Janoriya Weekly;288
Shri Aravinth Kumar; Tirupur Tamil Nadu and Citizen for Rule of law;289
Shri K. Nagaimugan; President Citizen for Rule of law;289
Shri C.S. Kalra; Editor/ Publisher University Today;290
Shri Awadesh Kumar Singh; Publisher and Printer Fast News Activist;291
Shri K.D. Chandola; Member PCI;292
Shri K.D. Chandola; Member PCI;293
Shri Sayed Mohd. Taj Alam; Editor Jail Diary;294
Shri V. Murali; Editor Sakshi;295
Police Commissioner;and RNI;296
Jodhur;and RNI;296
Shri Keshavdutt Chandola; National President Association of Small and Medium Newspapers of India;297
Shri Sunil Kumar Rai; Editor Najar Ki Najar;298
Shri Sayed Naeem; Samadhan Samachar;299
Chief Editor; Samadhan Samachar;299
Shri Basant Kumar; Owner/ Printer Prakash Bulletin;300
Shri Raghunath Singh; Dy. General Manager Rajasthan Patrika;301
Shri Pushpendra Bhardwaj; Journalist Dainik Purab Pashim Jyoti;302
Mohd. Aaftab Alam; Editor Van Diary;303
Managing Editor; Dainik Hind Gazette;305
Shri S. Navamani; Convenor Federation of All News and Media Personnel Association;323
reporter;of Dinamalar;323
Shri Mahipal Singh; Journalist UNI;324
Shri Kamalkant Upmanyu; State Vice-President U.P. Journalist Association;325
Shri Manish Tripathi; Editor/Printer/Publisher/Owner Janam Prasaram Times;326
Shri Janendra Singh; O.S.D. to Government of U.P.;326
Chief Minister; Government of U.P.;326
Shri Sharad Katiyar; Publisher/ Editor Youth India;327
Shri Shajeb Khan; Journalist/ President GraminPatrakar Association;328
Shri Nooruddin; Chairman Municipal Council;328
Shri Ramesh Chandra; Editor Vashisht Times;329
President; UP Press Club;330
Shri Naved Akhtar; Correspondent Dainik Shah Times;331
Shri B.K. Awasthi; Staff Reporter Rashtriya Sahara;332
Shri Naresh Yadav; Pradhan Sorkhaand Government of Uttar Pradesh;332
Ms. Rukhsar; Dainik Hakumat Express;333
Special Correspondent; Dainik Hakumat Express;333
Shri Mahendra Agarwal; Editor/Printer Kootchakra;335
Shri Om Prakash Baghel; Chief Editor Duniya Ek Nazar Main;336
Shri Pawan Kumar Sharma; Bureau Chief National Human Rights;339
Shri Irfan Tyagi; Clerk Municipal Corporation;339
Shri Viresh Kumar Shukla; Correspondent Pioneer;340
Shri Atul Prakash Srivastava; Sub-Divisional;340
Shri Rajendra Jain; Correspondent APNS News Agency;341
Shri Veerbhan Singh; Correspondent and Dainik Jagran;342
Shri Mukesh Kumar; Photographer Dainik Jagran;342
Shri Deepak Das;and Police authorities;342
Shri Shivprakash;and Police authorities;342
Senior Engineer;and Police authorities;342
Nahar Vibhag;and Police authorities;342
Shri Nand lal Singh Chauhan; Editor Ashtavakra;343
Shri Rajeev Gupta; Chairman Press Club of Shahjahanpur& District Correspondent;345
Shri Satyaprakash; Offcie Incharge Dainik Hindustan;346
Shri S. P. Sabharwal; Chief Editor Northern Post;347
Shri Geetartha Pathak; President Journalists Union of Assam;348
Shri Dayanand Sharma; Journalist Sanskar Times;349
Shri Avadh Kishore; Correspondence;350
Jaiswal; Correspondence;350
Inspector-inCharge; Police Station-Sadar;350
Smt. Rubeena Mannan; Chairperson Kirtpur Municipality;351
Shri MahantJwala Prasad; Coeditor Hathras Gaurav;352
Shri Kashmir Sigh; Crime Line;354
Correspondent; Crime Line;354
Shri Rajesh Kumar Siddharth; Editor Ab Tak Nayay;355
Shri Gopi Prasad Bharti; Chief Editor Sasakta Bundelkhand;356
Shri Lavlesh Pandey; Chief Editor CharchaAaj Ki;359
General Secretary; UT Journalist Union;360
Daman; Savera Times;360
Managing Editor; Savera Times;360
Shri Kiranpal; Head Constable Delhi Police;362
Shri Tejpal; Head Constable Delhi Police;362
Shri Amresh Kumar Singh; Publihser;364
Shri Neeraj Narayan; Trainee D.F.O. Valmiki Byagr Project;364
Shri Animesh Prashar; Circle Officer Baggha 3) Top Work Zone Irrigation Department;364
Superintending Engineer; Top Work Zone Irrigation Department;364
Shri Dharmender Singh; KewalSach&Sach Times;365
Purnia Division Bureau Chief; KewalSach&Sach Times;365
Executive Officer; Municipal Council Kishanganj;365
Shri Dhirender Aswasthi; Owner/ Publisher Vishwadharm Kalyan;367
Shri Nitish Kumar; IAS;367
Shri Arun Kumar Dwivedi; Editor Nari Samvedana;368
Shri Gopi Prasad; Editor Sashakt Budndelkhand;372
Shri K.P. Mari Kumar; Publisher Uyirosai;377
Shri Ramanujam; Reporter Puthiyathalaimurai TV;377
Shri Ram Charna Mali; Chief Editor Vanvasi Express;378
Shri Rajesh Dhyani; Editor Jagruk Uttaranchal;379
Brigadier Shri Vinod Rayjada; Commandant Garhwal Rifles;379
Shri Mumtaz Alam Khan; Editor Hind Ki Kalam;380
Shri Thakur Kumar (Manojanand); Editor Thakur Sahab Times;381
Shri Kailash Nath Verma; President & Uttar Pradesh Working Journalist Union;382
Shri Janki Sharan Dwivedi; General Secretary Uttar Pradesh Working Journalist Union;382
Shri Keshav Dutt Chandola; National President Association of Small & Medium Newspapers of India;383
Shri Mohd. Javed Kazmi; Owner Printer Publisher Editor Purvanchal Laher;385
Shri Ahmed Bharti; Editor Nai Aawaz;386
Shri Dharmendra Nath Sharma; General Manager Adhunik Avashakta;387
Shri Sarvesh Kumar Suyash; Freelance Journalist and National President All India Freelancer Journalist Federation;388
Shri Jagannath Bastia; President Puri Journalists Association;391
Chairman; Parliamentary Standing Committee;391
Chairman-cum-Managing Director; UCO Bank;391
Editor; National Duniya;392
Shri Harjeet Dua; Freelancer;393
Shri R. Ramachandra Rao; Editor/ Publisher Lokam Pokada;394
Shri Jitender Mishra; Journalist Rashtriya Sahara;395
Shri Sunil Saurabh; Journalist Chauthi Duniya;395
Shri Gopal Prasad Singha; Bureau Chief Rashtriya Sahara;395
Shri Vipin Tripathi; Correspondent Sach Ka Teer;396
antisocial elements;and police authorities;396
Shri Ramashankar Singh Pasi; Chief Editor Nyay Ki Kalam;397
Shri Rajender Singh Thakur; Sub Inspector M.P.;397
Shri Prabhat Ram; Deputy General Manager (HR) NTPC Ltd.;398
Shri Tribhuwan Poddar; Editor Vishwasmat Times;400
Shri Suresh Jaiswal;alias Jansandesh Times;401
Suresh Gandhi; Bureau Chief Jansandesh Times;401
Shri MS Rajneekar; Publisher Repko News;402
Shri Lekhraj Nonihal; President Sewa Samiti;402
Dr. Praveen Gupta; Chief Correspondent Public News;403
Shri C.S. Kalra; Editor & Publisher University Today;404
Prof. Rajbir Singh; Director Consortium of Educational Communication;404
Shri Sanjeev Kumar; Editor Satta Ki Parakh;405
Director; Information & Public Relation Department;405
Shri Ram Khilawan; District Information & Public Relation Department;406
Shri Dharmender Sharma; General Manager Adhunik Awashykta;407
Shri Ramanand Mishra; Journalist/ District Coordinator Bhrastachar Anveshan;408
Dr. P.N. Chaturvedi; District Combined Hospital;408
Shri Devender Gupta; Correspondent Raj Express;410
Shri Malkhe Dikshit; Sr. Sub-Inspector Police Station;411
Shri Lal Singh; Editor Hathras Samachar;412
Shri Naveen Mittal; Owner/Publisher/ Editor Rajasva Ka Prahari;413
Commercial Tax Officer; Office of the Commercial Tax;413
Editor; Namaste Bharat;414
Smt. Rekha Rathore; SDM;415
Shri Naresh Khattar; Chief Editor Daurti Delhi;416
Shri Suresh Malik; Chairman Shri Sanatan Dharam Mandir;416
Shri Ramchander Kumar Anjana; Correspondent Hindustan;417
Shri Ramod Kumar Singh; SHO Thermal Bokaro Police Station;417
Shri Om Prakash Tiwari; Advocate and Police Authority;418
Shri Kanahiyalal Vishvakarma; Chief Editor Bundelkhand Suvarta;419
Shri Om Prakash Verma; Editor Ratriman;420
Shri Nihaal Hussain; Chief Editor/ Publisher Sab Pe Nazar;422
Dr. Neeraj Kumar; Journalist Naya Kya Hai;423
Mohd. Akram Khan; Journalist Bhrashtachar Kyon;424
Shri Vinod Kumar Kudheshiya; Chief Editor Dreamland;425
Shri Haridas Verma; S.H.O.;425
Shri Mahavir Jain; Editor Dainik Marulehar;428
Shri Mevaram Jain; MLA Barmer and the Police Authorities;428
Shri Lakshman Singh Maidh; Editor Rashtriya Chetana;430
Dr. Surbhi Vashishth; Medical Officers Government Hospital;430
Dr. Vinayak Gaur; Medical Officers Government Hospital;430
Shri S. Manimaran; Editor Thinaboomi;431
Shri Sanjay Bhati; Editor Supreme News;432
Shri Mohan Sharma; Editor Rajasthani Chirag Daily;433
Commissioner; Information & Public Relations Department;433
